話す^はなす^말하다^友人と話す^친구(유-진)와 이야기를 하다
光る^ひかる^빛나다^星が光る^별이 빛나다
遊ぶ^あそぶ^놀다^兄弟と遊ぶ^형제와 놀다
帰る^かえる^돌아가다^家に帰る^집에 돌아가다
歌う^うたう^노래하다^歌を歌う^노래를 부르다
踊る^おどる^춤추다^姉と踊る^언니와 춤추다
運ぶ^はこぶ^옮기다^荷物を運ぶ^수하물을 옮기다
押す^おす^누르다^箱を押す^상자를 누르다
叩く^たたく^두드리다^太鼓を叩く^북을 두드리다
読む^よむ^읽다^本を読む^책을 읽다
売る^うる^팔다^クッキーを売る^쿠키를 팔다
買う^かう^사다^商品を買う^상품을 사다
折る^おる^접다^紙を折る^종이를 접다
釣る^つる^낚다^魚を釣る^물고기를 낚다
待つ^まつ^기다리다^電車を待つ^전철을 기다리다
忘れる^わすれる^잊다^覚えたことを忘れる^기억한 것을 잊다
覚える^おぼえる^기억하다^日本語を覚える^일본어를 기억하다
攻めす^せめす^공격하다^相手を攻めす^상대를 공격하다
守る^まもる^방어하다^盾で守る^방패로 방어하다
上げる^あげる^(물건을)올리다^バーベルを上げる^바벨을 올리다
